task,pnum,iteration,score
antonyms,4,2,0.32
antonyms,4,3,0.31
antonyms,4,4,0.32
antonyms,4,5,0.33
antonyms,5,1,0.39
antonyms,5,2,0.38
antonyms,5,3,0.41
antonyms,5,4,0.41
antonyms,5,5,0.39
antonyms,6,1,0.4
antonyms,6,2,0.38
antonyms,6,3,0.4
antonyms,6,4,0.42
antonyms,6,5,0.38
antonyms,7,1,0.26
antonyms,7,2,0.23
antonyms,7,3,0.28
antonyms,7,4,0.26
antonyms,7,5,0.22
antonyms,8,1,0.28
antonyms,8,2,0.2
antonyms,8,3,0.23
antonyms,8,4,0.26
antonyms,8,5,0.22
antonyms,9,1,0.24
antonyms,9,2,0.26
antonyms,9,3,0.27
antonyms,9,4,0.29
antonyms,9,5,0.31
antonyms,10,1,0.28
antonyms,10,2,0.25
antonyms,10,3,0.28
antonyms,10,4,0.29
antonyms,10,5,0.27
sum,0,1,0.65
sum,0,2,0.62
sum,0,3,0.67
sum,0,4,0.65
sum,0,5,0.7
sum,1,1,0.69
sum,1,2,0.67
sum,1,3,0.66
sum,1,4,0.68
sum,1,5,0.66
sum,2,1,0.84
sum,2,2,0.81
sum,2,3,0.84
sum,2,4,0.86
sum,2,5,0.83
sum,3,1,0.61
sum,3,2,0.61
sum,3,3,0.64
sum,3,4,0.58
sum,3,5,0.59
sum,4,1,0.49
sum,4,2,0.54
sum,4,3,0.55
sum,4,4,0.57
sum,4,5,0.53
sum,5,1,0.52
sum,5,2,0.49
sum,5,3,0.47
sum,5,4,0.45
sum,5,5,0.44
sum,6,1,0.52
sum,6,2,0.5
sum,6,3,0.47
sum,6,4,0.48
sum,6,5,0.47
sum,7,1,0.71
sum,7,2,0.76
sum,7,3,0.74
sum,7,4,0.76
sum,7,5,0.71
sum,8,1,0.45
sum,8,2,0.41
sum,8,3,0.42
sum,8,4,0.48
sum,8,5,0.49
sum,9,1,0.51
sum,9,2,0.53
sum,9,3,0.53
sum,9,4,0.5
sum,9,5,0.52
sum,10,1,0.43
sum,10,2,0.36
sum,10,3,0.46
sum,10,4,0.41
sum,10,5,0.42
translation_en-fr,0,1,0.47
translation_en-fr,0,2,0.37
translation_en-fr,0,3,0.35
translation_en-fr,0,4,0.4
translation_en-fr,0,5,0.38
translation_en-fr,1,1,0.37
translation_en-fr,1,2,0.3
translation_en-fr,1,3,0.3
translation_en-fr,1,4,0.37
translation_en-fr,1,5,0.32
translation_en-fr,2,1,0.41
translation_en-fr,2,2,0.43
translation_en-fr,2,3,0.39
translation_en-fr,2,4,0.43
translation_en-fr,2,5,0.4
translation_en-fr,3,1,0.44
translation_en-fr,3,2,0.41
translation_en-fr,3,3,0.37
translation_en-fr,3,4,0.45
translation_en-fr,3,5,0.46
translation_en-fr,4,1,0.04
translation_en-fr,4,2,0.1
translation_en-fr,4,3,0.07
translation_en-fr,4,4,0.1
translation_en-fr,4,5,0.1
translation_en-fr,5,1,0.32
translation_en-fr,5,2,0.3
translation_en-fr,5,3,0.28
translation_en-fr,5,4,0.29
translation_en-fr,5,5,0.26
translation_en-fr,6,1,0.43
translation_en-fr,6,2,0.35
translation_en-fr,6,3,0.4
translation_en-fr,6,4,0.32
translation_en-fr,6,5,0.44
translation_en-fr,7,1,0.39
translation_en-fr,7,2,0.41
translation_en-fr,7,3,0.47
translation_en-fr,7,4,0.4
translation_en-fr,7,5,0.37
translation_en-fr,8,1,0.33
translation_en-fr,8,2,0.31
translation_en-fr,8,3,0.35
translation_en-fr,8,4,0.33
translation_en-fr,8,5,0.36
translation_en-fr,9,1,0.32
translation_en-fr,9,2,0.28
translation_en-fr,9,3,0.21
translation_en-fr,9,4,0.25
translation_en-fr,9,5,0.27
translation_en-fr,10,1,0.19
translation_en-fr,10,2,0.22
translation_en-fr,10,3,0.18
translation_en-fr,10,4,0.19
translation_en-fr,10,5,0.17
synonyms,0,1,0.11
synonyms,0,2,0.07
synonyms,0,3,0.07
synonyms,0,4,0.09
synonyms,0,5,0.08
synonyms,1,1,0.06
synonyms,1,2,0.05
synonyms,1,3,0.08
synonyms,1,4,0.06
synonyms,1,5,0.03
synonyms,2,1,0.07
synonyms,2,2,0.06
synonyms,2,3,0.07
synonyms,2,4,0.06
synonyms,2,5,0.1
synonyms,3,1,0.07
synonyms,3,2,0.06
synonyms,3,3,0.06
synonyms,3,4,0.06
synonyms,3,5,0.07
synonyms,4,1,0.05
synonyms,4,2,0.04
synonyms,4,3,0.05
synonyms,4,4,0.05
synonyms,4,5,0.05
synonyms,5,1,0.04
synonyms,5,2,0.02
synonyms,5,3,0.05
synonyms,5,4,0.05
synonyms,5,5,0.06
synonyms,6,1,0.07
synonyms,6,2,0.08
synonyms,6,3,0.08
synonyms,6,4,0.05
synonyms,6,5,0.08
synonyms,7,1,0.04
synonyms,7,2,0.05
synonyms,7,3,0.05
synonyms,7,4,0.03
synonyms,7,5,0.07
synonyms,8,1,0.06
synonyms,8,2,0.04
synonyms,8,3,0.06
synonyms,8,4,0.1
synonyms,8,5,0.09
synonyms,9,1,0.06
synonyms,9,2,0.06
synonyms,9,3,0.09
synonyms,9,4,0.07
synonyms,9,5,0.06
synonyms,10,1,0.07
synonyms,10,2,0.05
synonyms,10,3,0.07
synonyms,10,4,0.07
synonyms,10,5,0.04
common_concept,0,1,0.00625
common_concept,0,2,0.0
common_concept,0,3,0.0177696078431372
common_concept,0,4,0.025
common_concept,0,5,0.0
common_concept,1,1,0.0199353448275862
common_concept,1,2,0.0
common_concept,1,3,0.0
common_concept,1,4,0.0
common_concept,1,5,0.0073529411764705
common_concept,2,1,0.0117521367521367
common_concept,2,2,0.0331669427064163
common_concept,2,3,0.0314764492753623
common_concept,2,4,0.0412946428571428
common_concept,2,5,0.0187165775401069
common_concept,3,1,0.0208901515151515
common_concept,3,2,0.0078125
common_concept,3,3,0.0125
common_concept,3,4,0.0044642857142857
common_concept,3,5,0.01237922705314
common_concept,4,1,0.0137820512820512
common_concept,4,2,0.0113636363636363
common_concept,4,3,0.0125
common_concept,4,4,0.0083333333333333
common_concept,4,5,0.0166666666666666
common_concept,5,1,0.0056818181818181
common_concept,5,2,0.0
common_concept,5,3,0.0
common_concept,5,4,0.0
common_concept,5,5,0.0138888888888888
common_concept,6,1,0.0078125
common_concept,6,2,0.0
common_concept,6,3,0.0363636363636363
common_concept,6,4,0.0
common_concept,6,5,0.0125
common_concept,7,1,0.0078125
common_concept,7,2,0.0126262626262626
common_concept,7,3,0.0119047619047619
common_concept,7,4,0.0208333333333333
common_concept,7,5,0.0043103448275862
common_concept,8,1,0.0089285714285714
common_concept,8,2,0.0
common_concept,8,3,0.0059523809523809
common_concept,8,4,0.006578947368421
common_concept,8,5,0.0044642857142857
common_concept,9,1,0.0
common_concept,9,2,0.0
common_concept,9,3,0.0089285714285714
common_concept,9,4,0.0
common_concept,9,5,0.0138888888888888
common_concept,10,1,0.0056818181818181
common_concept,10,2,0.0054347826086956
common_concept,10,3,0.0
common_concept,10,4,0.0
common_concept,10,5,0.0
rhymes,0,1,0.07
rhymes,0,2,0.07
rhymes,0,3,0.12
rhymes,0,4,0.07
rhymes,0,5,0.08
rhymes,1,1,0.11
rhymes,1,2,0.08
rhymes,1,3,0.11
rhymes,1,4,0.11
rhymes,1,5,0.12
rhymes,2,1,0.13
rhymes,2,2,0.13
rhymes,2,3,0.17
rhymes,2,4,0.13
rhymes,2,5,0.15
rhymes,3,1,0.09
rhymes,3,2,0.08
rhymes,3,3,0.07
rhymes,3,4,0.1
rhymes,3,5,0.05
rhymes,4,1,0.1
rhymes,4,2,0.06
rhymes,4,3,0.06
rhymes,4,4,0.11
rhymes,4,5,0.06
rhymes,5,1,0.12
rhymes,5,2,0.17
rhymes,5,3,0.13
rhymes,5,4,0.12
rhymes,5,5,0.13
rhymes,6,1,0.11
rhymes,6,2,0.12
rhymes,6,3,0.15
rhymes,6,4,0.1
rhymes,6,5,0.09
rhymes,7,1,0.09
rhymes,7,2,0.18
rhymes,7,3,0.1
rhymes,7,4,0.09
rhymes,7,5,0.15
rhymes,8,1,0.14
rhymes,8,2,0.08
rhymes,8,3,0.13
rhymes,8,4,0.13
rhymes,8,5,0.15
rhymes,9,1,0.08
rhymes,9,2,0.06
rhymes,9,3,0.08
rhymes,9,4,0.15
rhymes,9,5,0.1
rhymes,10,1,0.13
rhymes,10,2,0.15
rhymes,10,3,0.14
rhymes,10,4,0.09
rhymes,10,5,0.17
informal_to_formal,0,1,0.3147236097236098
informal_to_formal,0,2,0.3178508448073665
informal_to_formal,0,3,0.3424464802483378
informal_to_formal,0,4,0.2992836792836792
informal_to_formal,0,5,0.3852919629390217
informal_to_formal,1,1,0.1691836268306856
informal_to_formal,1,2,0.1896380286380286
informal_to_formal,1,3,0.1657430306191916
informal_to_formal,1,4,0.152968629810735
informal_to_formal,1,5,0.1977734395066518
informal_to_formal,2,1,0.1308798234265996
informal_to_formal,2,2,0.1611782023850989
informal_to_formal,2,3,0.147468671679198
informal_to_formal,2,4,0.1113574670096409
informal_to_formal,2,5,0.130780133926587
informal_to_formal,3,1,0.2020515214632861
informal_to_formal,3,2,0.199883683567894
informal_to_formal,3,3,0.1788860627116112
informal_to_formal,3,4,0.1770339246809835
informal_to_formal,3,5,0.1598819488809168
informal_to_formal,4,1,0.110802621786065
informal_to_formal,4,2,0.152927312339077
informal_to_formal,4,3,0.1245522313943366
informal_to_formal,4,4,0.1930709327365674
informal_to_formal,4,5,0.1519550739115956
informal_to_formal,5,1,0.1649129626496291
informal_to_formal,5,2,0.1318562200708743
informal_to_formal,5,3,0.1594752670839627
informal_to_formal,5,4,0.2082325626443273
informal_to_formal,5,5,0.1395775684010978
informal_to_formal,6,1,0.1630324548745601
informal_to_formal,6,2,0.1816716908822171
informal_to_formal,6,3,0.236422475942066
informal_to_formal,6,4,0.2514337239414639
informal_to_formal,6,5,0.2808865478060525
informal_to_formal,7,1,0.1671308125425772
informal_to_formal,7,2,0.2287210266920411
informal_to_formal,7,3,0.2116249828602769
informal_to_formal,7,4,0.1761608487831397
informal_to_formal,7,5,0.177476718128892
informal_to_formal,8,1,0.2888886668886669
informal_to_formal,8,2,0.2994131599394757
informal_to_formal,8,3,0.2050529222568203
informal_to_formal,8,4,0.2290401755107637
informal_to_formal,8,5,0.249990230691985
informal_to_formal,9,1,0.1267845539775364
informal_to_formal,9,2,0.1239582736104475
informal_to_formal,9,3,0.1381400974899427
informal_to_formal,9,4,0.1192434580669874
informal_to_formal,9,5,0.0954855709974924
informal_to_formal,10,1,0.2099362676479381
informal_to_formal,10,2,0.1354232042467336
informal_to_formal,10,3,0.2738530878044944
informal_to_formal,10,4,0.1964369051427875
informal_to_formal,10,5,0.1601173582277561
